value,count
"EQUIFAX, INC.",816041
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",773549
Experian Information Solutions Inc.,736296
CAPITAL ONE FINANCIAL CORPORATION,68431
JPMORGAN CHASE & CO.,62880
WELLS FARGO & COMPANY,58907
"BANK OF AMERICA, NATIONAL ASSOCIATION",56727
"CITIBANK, N.A.",53752
"Block, Inc.",46649
SYNCHRONY FINANCIAL,33910
AMERICAN EXPRESS COMPANY,24393
Resurgent Capital Services L.P.,22146
NAVY FEDERAL CREDIT UNION,21651
"Early Warning Services, LLC",21237
"Paypal Holdings, Inc",20789
"Portfolio Recovery Associates, LLC",20746
"Navient Solutions, LLC.",20737
"Bread Financial Holdings, Inc.",20167
ENCORE CAPITAL GROUP INC.,20053
DISCOVER BANK,18642
U.S. BANCORP,18557
Chime Financial Inc,14442
TD BANK US HOLDING COMPANY,13907
CL Holdings LLC,13338
MOHELA,12704
ALLY FINANCIAL INC.,11924
"Nelnet, Inc.",11674
BARCLAYS BANK DELAWARE,11581
PNC Bank N.A.,11533
LEXISNEXIS,11424
TRUIST FINANCIAL CORPORATION,10577
Ocwen Financial Corporation,9517
"Shellpoint Partners, LLC",9465
GOLDMAN SACHS BANK USA,8695
AES/PHEAA,8489
UNITED SERVICES AUTOMOBILE ASSOCIATION,8382
"CCS Financial Services, Inc.",8292
Mr. Cooper Group Inc.,8223
TRANSWORLD SYSTEMS INC,8052
"I.C. System, Inc.",8022
"National Credit Systems,Inc.",7371
CREDIT ACCEPTANCE CORPORATION,6604
"CITIZENS FINANCIAL GROUP, INC.",6522
"CBC Companies, Inc.",6347
"Coinbase, Inc.",6056
"SANTANDER HOLDINGS USA, INC.",6035
Santander Consumer USA Holdings Inc.,5944
"SELECT PORTFOLIO SERVICING, INC.",5693
"Westlake Services, LLC",5687
"Affirm Holdings, Inc",5505
"Kriya Capital, LLC",5409
FIFTH THIRD FINANCIAL CORPORATION,5254
Freedom Mortgage Company,5224
ERC,5194
"Maximus Federal Services, Inc.",4818
OneMain Finance Corporation,4657
"Fidelity National Information Services, Inc. (FNIS)",4526
"LoanCare, LLC",4254
NATIONSTAR MORTGAGE LLC,4246
"Convergent Resources, Inc.",4181
Ditech Financial LLC,4001
"CLGF Holdco 1, LLC",3896
"General Motors Financial Company, Inc.",3857
"CAINE & WEINER COMPANY, INC.",3801
EdFinancial Services,3785
HYUNDAI CAPITAL AMERICA,3768
Specialized Loan Servicing Holdings LLC,3766
Self Financial Inc.,3677
TOYOTA MOTOR CREDIT CORPORATION,3649
"National Credit Adjusters, LLC",3610
"Rocket Mortgage, LLC",3537
REGIONS FINANCIAL CORPORATION,3520
"HW Holding, Inc",3492
"Exeter Finance, LLC.",3467
HSBC NORTH AMERICA HOLDINGS INC.,3287
"SOFI TECHNOLOGIES, INC.",3179
M&T BANK CORPORATION,3168
"HUNTINGTON NATIONAL BANK, THE",3157
Bridgecrest Acceptance Corporation,3146
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",3111
"Southwest Credit Systems, L.P.",3077
"CARRINGTON MORTGAGE SERVICES, LLC",3071
"Credit Karma, LLC",2973
BMO BANK NATIONAL ASSOCIATION,2960
Radius Global Solutions LLC,2957
Netspend Corporation,2927
"PENNYMAC LOAN SERVICES, LLC.",2888
T.S. Holdings,2748
KEYCORP,2710
"Spring Oaks Capital, LLC",2692
ROBINHOOD MARKETS INC.,2655
Atlanticus Services Corporation,2603
"ProCollect, Inc.",2517
SLM CORPORATION,2507
"FAIR COLLECTIONS & OUTSOURCING, INC.",2464
"SUNRISE CREDIT SERVICES, INC",2391
NISSAN MOTOR ACCEPTANCE COMPANY LLC,2387
PENTAGON FEDERAL CREDIT UNION,2387
"ENOVA INTERNATIONAL, INC.",2348
"ID Analytics, Inc.",2332
"Diversified Consultants, Inc.",2330
Comerica,2287
AFNI INC.,2261
"Amsher Collection Services, Inc.",2232
Synovus Bank,2211
NCB Management Services Inc.,2205
"CAVALRY INVESTMENTS, LLC",2194
"SUNTRUST BANKS, INC.",2151
AMERICAN HONDA FINANCE CORP,2127
CORELOGIC INC,2081
Incomm Holdings Inc.,2009
"Commonwealth Financial Systems, Inc.",1983
"Sequium Asset Solutions, LLC",1937
HCFS Healthcare Financial Services of TeamHealth,1917
BBVA FINANCIAL CORPORATION,1904
MoneyLion Inc.,1893
"Fay Servicing, LLC",1886
"Caliber Home Loans, Inc.",1872
"UPGRADE, INC.",1864
Kikoff Inc.,1811
CURO Intermediate Holdings,1771
"WESTERN UNION COMPANY, THE",1744
"ACIMA CREDIT, LLC",1712
"Aldous & Associates, PLLC",1699
Global Lending Services LLC,1663
"LD Holdings Group, LLC",1654
FC HoldCo LLC,1642
"LAKEVIEW LOAN SERVICING, LLC",1628
"The CBE Group, Inc.",1619
"Continental Finance Company, LLC",1596
FIRST NATIONAL BANK OF OMAHA,1589
"Harris & Harris, Ltd.",1577
TrueAccord Corp.,1570
"American Credit Acceptance, LLC",1568
RUSHMORE LOAN MANAGEMENT SERVICES LLC,1566
"Ability Recovery Services, LLC",1543
FISERV FINXACT CORE,1542
"W&A Intermediate Co., LLC",1525
BB&T CORPORATION,1504
World Acceptance Corporation,1486
Phoenix Financial Services LLC,1480
"Conn's, Inc.",1476
FORD MOTOR CREDIT CO.,1474
"CarMax, Inc.",1471
Servicer under contract with Federal Student Aid,1462
RoundPoint Mortgage Servicing LLC,1446
Source Receivables Management LLC,1441
"Consumer Portfolio Services, Inc.",1425
Selene Holdings LLC,1419
"Capio Partners, LLC",1416
"NRA Group, LLC",1413
"Avant Holding Company, Inc.",1404
CCF Intermediate Holdings LLC,1355
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",1345
"BMW Financial Services NA, LLC",1341
"Flagstar Bank, N.A.",1312
"WAKEFIELD & ASSOCIATES, INC.",1294
"Eastern Account Systems of Connecticut, Inc.",1273
"John C. Heath, Attorney at Law, PLLC",1268
"Dovenmuehle Mortgage, Inc.",1265
"Colony Brands, Inc.",1257
"Aargon Agency, Inc.",1251
Mercedes Benz Financial Services,1245
"Credit Control, LLC",1244
"The CMI Group, Inc.",1237
"Security Credit Services, LLC",1231
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,1223
"Debt Recovery Solutions, LLC",1217
"ONLINE Information Services, Inc.",1205
"Seterus, Inc.",1201
Velocity Portfolio Group,1196
"Medical Data Systems, Inc.",1193
"MRS BPO, LLC",1176
Midwest Recovery Systems,1176
Rent Recovery Solutions,1159
TransferWise Ltd,1155
V and H Portfolio,1143
"Upstart Holdings, Inc.",1137
"AmeriHome Mortgage Company, LLC",1133
"MARINER FINANCE, LLC",1133
"Receivables Performance Management, LLC",1128
"EOS Holdings, Inc.",1112
"United Shore Financial Services, LLC",1105
"ONEMAIN FINANCIAL HOLDINGS, LLC.",1103
FinCo Services Inc DBA Current,1102
Penn Credit Corporation,1076
"Diversified Adjustment Service, Inc.",1072
VW Credit,1071
AmeriCollect,1067
AMERISAVE MORTGAGE CORPORATION,1041
Monterey Financial Services LLC,1039
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",1039
CNG FINANCIAL CORPORATION,1022
Army and Air Force Exchange Service,999
Conduent Incorporated,994
Credit Corp Solutions Inc.,987
NEW YORK COMMUNITY BANCORP INC,965
LJ Ross Associates,956
Klarna AB,932
Central Portfolio Control Inc.,930
"SANTANDER BANK, NATIONAL ASSOCIATION",922
Consumer Adjustment Company Incorporated,907
MIDFIRST BANK,904
"BSI Financial Holdings, Inc.",898
"Paramount GR Holdings, LLC",898
"CMRE Financial Services, Inc.",895
Ad Astra Recovery Services Inc,879
Lendmark Financial Services,876
"PLANET HOME LENDING, LLC",874
"Halsted Financial Services, LLC.",863
"Lockhart, Morris & Montgomery Inc.",853
"Bull City Financial Solutions, Inc",852
Lending Club Corp,852
Winklevoss Exchange LLC,850
Advanced Resolution Services Inc.,844
BANK OF THE WEST,836
"I.Q. DATA INTERNATIONAL, INC.",826
"Professional Debt Mediation, Inc.",823
"Receivables Management Partners, LLC",819
"Waypoint Resource Group, LLC",810
TekCollect Inc.,809
"Collection Management Holdings, LLC",806
"RentDebt Automated Collections, LLC",802
"Prosper Marketplace, Inc.",792
